hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(200, 100, 50)",logistic,sgd,200,0.8125,0.4482758620689655,0.4774842239795511,0.04085110468033952,0.4485981308411215,0.4485981308411215,0.5352564102564102,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,112,5,1,2024-12-27 02:05:19.135085
"(200, 100, 50)",logistic,sgd,500,0.8125,0.4482758620689655,0.4774842239795511,0.04085110468033952,0.4485981308411215,0.4485981308411215,0.5352564102564102,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,112,5,1,2024-12-27 02:05:20.731485
"(10, 10, 10)",tanh,sgd,2000,0.8125,0.4482758620689655,0.48173399387578963,0.03893769715734674,0.4326923076923077,0.48456610366919045,0.5279435702658708,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,133,5,1,2024-12-27 02:01:33.241255
"(100, 50)",logistic,adam,1000,0.8125,0.4482758620689655,0.46763538055695714,0.027617945730492175,0.4485981308411215,0.5066889632107023,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,25,4,1,2024-12-27 02:03:03.113981
"(100, 50)",logistic,adam,2000,0.8125,0.4482758620689655,0.46763538055695714,0.027617945730492175,0.4485981308411215,0.5066889632107023,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,25,4,1,2024-12-27 02:03:03.316001
"(100, 50)",logistic,adam,500,0.8125,0.4482758620689655,0.46763538055695714,0.027617945730492175,0.4485981308411215,0.5066889632107023,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,25,4,1,2024-12-27 02:03:02.909428
"(10, 10, 5)",relu,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:18.232989
"(10, 10, 5)",relu,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:18.169119
"(10, 10, 5)",relu,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:18.102116
"(200, 100, 50)",logistic,sgd,2000,0.8125,0.4482758620689655,0.4774842239795511,0.04085110468033952,0.4485981308411215,0.4485981308411215,0.5352564102564102,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,112,5,1,2024-12-27 02:05:23.943081
"(10, 10, 5)",relu,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:18.300213
"(300, 150)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,4,1,2024-12-27 02:04:08.481217
"(300, 150)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,4,1,2024-12-27 02:04:08.864049
"(300, 150)",logistic,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,4,1,2024-12-27 02:04:09.285481
"(10, 10, 5)",logistic,adam,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:22.613215
"(300, 150, 75, 35)",logistic,sgd,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:09:20.861792
